time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-20T02:21:31.670Z,34.2766667,-117.0235,7.35,1,ml,22,89,0.0248,0.25,ci,ci37259832,2014-08-20T02:26:12.940Z,"10km WNW of Big Bear Lake, California",earthquake
2014-08-20T02:19:00.000Z,60.0552,-153.5,100,2.5,ml,,,,2.61,ak,ak11361396,2014-08-20T10:21:28.798Z,"63km SW of Redoubt Volcano, Alaska",earthquake
2014-08-20T02:09:08.718Z,41.8817,-119.6467,0,2.07,ml,3,319.77,0.489,0.1153,nn,nn00456614,2014-08-20T06:41:21.192Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-20T02:06:46.000Z,60.8633,-147.5465,12.1,1.6,ml,,,,1,ak,ak11361390,2014-08-20T02:23:27.914Z,"62km E of Whittier, Alaska",earthquake
2014-08-20T01:41:18.360Z,34.0393333,-117.2395,15.89,0.86,ml,21,73,0.1072,0.3,ci,ci37259824,2014-08-20T01:46:00.580Z,"2km ESE of Loma Linda, California",earthquake
2014-08-20T01:33:03.000Z,61.1932,-147.3441,0.1,1.4,ml,,,,1.11,ak,ak11361384,2014-08-20T01:46:34.815Z,"54km W of Valdez, Alaska",earthquake
2014-08-20T01:27:40.000Z,60.2066,-141.7114,1.4,1,ml,,,,0.63,ak,ak11361382,2014-08-20T01:39:54.511Z,"42km ENE of Cape Yakataga, Alaska",earthquake
2014-08-20T01:26:54.600Z,46.078,-118.8922,0,1.7,Md,,230.4,0.05389892,0.45,uw,uw60848802,2014-08-20T03:00:06.950Z,"13km SE of Finley, Washington",quarry
2014-08-20T01:14:00.330Z,40.8142,-118.6927,21.84,1.9,ml,11,281.52,0.873,,nn,nn00456601,2014-08-20T01:16:52.359Z,"63km ENE of Gerlach-Empire, Nevada",earthquake
2014-08-20T01:11:41.830Z,-3.8071,137.64,60.4,4.9,mb,,126,5.453,1.17,us,usb000s4gh,2014-08-20T09:14:22.612Z,"143km E of Enarotali, Indonesia",earthquake
2014-08-20T01:07:56.000Z,37.9298,-122.3047,5.7,1.6,Md,18,57.6,0.02694946,0.05,nc,nc72280396,2014-08-20T01:42:04.756Z,"1km NNE of El Cerrito, California",earthquake
2014-08-20T00:30:51.760Z,50.8952,173.3084,9.92,4.5,mb,,136,1.903,0.99,us,usb000s4ga,2014-08-20T08:33:28.333Z,"211km SSW of Shemya Island, Alaska",earthquake
2014-08-20T00:30:25.000Z,61.3435,-141.0159,3.9,0.7,ml,,,,0.57,ak,ak11361343,2014-08-20T01:46:34.140Z,"161km NNE of Cape Yakataga, Alaska",earthquake
2014-08-20T00:22:31.000Z,51.8276,178.3253,99.2,3.4,ml,,,,1,ak,ak11361337,2014-08-20T08:25:11.187Z,"18km SW of Little Sitkin Island, Alaska",earthquake
2014-08-20T00:11:38.580Z,49.5655,154.8975,102.7,4.2,mb,,167,3.958,0.59,us,usb000s4g4,2014-08-20T08:14:18.137Z,"151km SW of Severo-Kuril'sk, Russia",earthquake
2014-08-20T00:05:24.000Z,60.5863,-153.1478,100,2.4,ml,,,,2.15,ak,ak11361329,2014-08-20T00:19:16.028Z,"24km WNW of Redoubt Volcano, Alaska",earthquake
2014-08-19T23:39:59.340Z,33.609,-116.803,16.27,1.1,ml,37,57,0.03588,0.21,ci,ci37259816,2014-08-19T23:50:33.230Z,"13km WNW of Anza, California",earthquake
2014-08-19T23:37:30.200Z,0.4315,146.2832,14.95,4.6,mb,,89,14.624,1.15,us,usb000s4ft,2014-08-20T07:40:09.523Z,"292km NNW of Lorengau, Papua New Guinea",earthquake
2014-08-19T23:33:49.000Z,62.6494,-150.4402,89.9,1.1,ml,,,,0.69,ak,ak11361295,2014-08-19T23:46:46.857Z,"40km NNW of Talkeetna, Alaska",earthquake
2014-08-19T23:30:04.580Z,32.6336,47.5473,10,4.4,mb,,123,9.352,0.95,us,usb000s4fn,2014-08-20T07:32:44.312Z,"27km ESE of Dehloran, Iran",earthquake
2014-08-19T23:15:21.000Z,58.811,-151.5427,11.2,1.5,ml,,,,0.51,ak,ak11361380,2014-08-20T01:39:56.541Z,"92km S of Homer, Alaska",earthquake
2014-08-19T23:14:42.000Z,61.306,-152.5078,3.9,1.6,ml,,,,0.49,ak,ak11361207,2014-08-20T01:39:55.786Z,"92km N of Redoubt Volcano, Alaska",earthquake
2014-08-19T23:12:52.950Z,-20.7534,-70.6742,19.07,4.6,mb,,140,0.498,0.99,us,usb000s4fd,2014-08-20T07:15:25.843Z,"80km SW of Iquique, Chile",earthquake
2014-08-19T23:09:27.000Z,61.3139,-152.3799,8.3,2,ml,,,,0.86,ak,ak11361198,2014-08-19T23:22:28.103Z,"91km NW of Nikiski, Alaska",earthquake
2014-08-19T23:07:16.900Z,35.7641,-97.4698,5,2.7,ml,,104,,0.38,us,usb000s4fm,2014-08-20T11:28:53.983Z,"12km N of Edmond, Oklahoma",earthquake
2014-08-19T22:42:33.220Z,-14.8747,66.2944,10,4.8,mb,,60,18.696,0.69,us,usb000s4fj,2014-08-20T06:45:35.102Z,"Mid-Indian Ridge",earthquake
2014-08-19T22:35:54.230Z,36.0181667,-118.9556667,5.38,1.91,ml,6,189,0.2056,0.24,ci,ci37259808,2014-08-19T23:33:09.533Z,"4km SSE of East Porterville, California",earthquake
2014-08-19T22:35:49.300Z,39.731,-123.4705,8.2,1.6,Md,5,165.6,0.08084838,0,nc,nc72280366,2014-08-20T02:16:03.319Z,"4km NNE of Laytonville, California",earthquake
2014-08-19T22:27:17.900Z,37.4325,-118.5433,12.3,1.5,Md,9,82.8,0.08084838,0.02,nc,nc72280361,2014-08-20T01:42:04.758Z,"9km NW of West Bishop, California",earthquake
